year,catcher,pop_time,distance,lead,sprint,is_cs,is_sb,tracked,pitchout
2021,669257,1.418,49.6199248145923,29.872,28.2,0,1,1,0
2021,669257,NA,46.11563093836689,33.414,28.3,0,1,0,0
2021,669257,NA,39.98589547143366,37.517,28.1,0,1,0,0
2021,669257,1.55,42.76674034817062,34.228,28.1,0,1,1,0
2021,669257,1.523,46.969203482387954,29.674,28.8,1,0,1,0
2021,669257,1.557,45.88145908376795,32.642,26.2,0,1,1,0
2021,672386,1.47,44.434707166313544,33.495,28.9,0,1,1,0
2021,672386,NA,47.39685657616801,31.065,28.8,0,1,0,0
2021,672386,NA,40.707351768058125,36.682,28.5,0,1,0,0
2021,672386,1.481,43.849510305113775,35.186,27.9,0,1,1,0
2021,672386,NA,48.721077898291576,29.531,28.5,0,1,0,0
2021,672386,NA,49.25657562536774,29.528,28.1,0,1,0,0
2021,672386,1.559,47.83281562224416,32.561,26.4,1,0,1,0
2021,672386,1.53,42.67190164368092,34.717,29.4,0,1,1,0
2021,672386,NA,44.32257404629334,35.428,27.9,0,1,0,0
2021,680777,1.622,52.28499050186634,27.233,30,0,1,1,0
2021,680777,NA,37.29072952309413,40.328,27.9,0,1,0,0
2021,680777,NA,49.190107956786115,28.381,30,0,1,0,0
2021,680777,1.6,51.023973414600796,28.417,29.9,0,1,1,0
2021,680777,1.67,51.67400612683743,26.422,28.4,0,1,1,0
2022,425877,1.945,64.13069267537507,18.995,27.4,1,0,1,0
2022,435559,NA,42.68654040145856,34.552,30.1,0,1,0,0
2022,435559,1.631,50.31023147755506,29.736,28,0,1,1,0
2022,435559,NA,50.38317071551185,28.133,27.4,0,1,0,0
2022,455117,NA,45.13695751116169,33.984,28.5,0,1,0,0
2022,455117,1.491,46.40700238792201,31.73,28.5,1,0,1,0
2022,455117,1.461,52.222535967648085,27.058,30.1,1,0,1,0
2022,455117,NA,45.734922227051094,33.179,30.1,0,1,0,0
2022,455117,NA,48.58345382008329,31.437,28.5,0,1,0,0
2022,455139,1.559,42.06038885406371,36.614,30.1,0,1,1,0
2022,455139,NA,48.33699050225104,31.42,29.9,0,1,0,0
2022,455139,1.586,53.60402615942778,27.546,26.9,1,0,1,0
2022,455139,1.658,49.628627275168995,28.275,28.8,0,1,1,0
2022,488771,1.559,52.547384686559795,28.489,27.6,1,0,1,0
2022,488771,NA,41.05368896562456,36.738,29,0,1,0,0
2022,506702,NA,35.66010853513979,44.152,27.9,0,1,0,0
2022,506702,NA,41.08574744468151,37.893,26.8,0,1,0,0
2022,506702,1.518,44.176827537042556,35.576,27.5,0,1,1,0
2022,518595,NA,44.27200720626659,35.21,26.5,0,1,0,0
2022,518595,NA,47.111190968176665,31.091,29.5,0,1,0,0
2022,518595,NA,44.161664848344124,34.998,27.7,0,1,0,0
2022,518595,1.653,54.526863389931066,24.604,28.6,0,1,1,0
2022,518595,1.572,50.09659319885213,28.37,28.3,1,0,1,0
2022,518735,NA,40.06085968133942,38.133,28,0,1,0,0
2022,518735,NA,45.55609594906862,32.762,28.6,0,1,0,0
2022,518735,1.612,49.26142251142343,30.242,30,0,1,1,0
2022,518735,1.673,55.169290434675986,24.51,30,1,0,1,0
2022,518735,1.636,47.135368405209846,29.819,27.9,0,1,1,0
2022,518735,NA,36.02617907728285,41.836,27,0,1,0,0
2022,518735,NA,44.36706021412058,35.53,25.5,0,1,0,0
2022,519222,1.706,52.824095397804264,29.067,26.4,1,0,1,0
2022,519222,1.515,50.170268287203776,29.622,29.8,0,1,1,0
2022,519222,1.505,50.51843022973271,29.105,28.4,1,0,1,0
2022,519222,1.498,52.11156345778948,27.525,27.4,1,0,1,0
2022,519222,NA,40.62428019226156,37.617,28.3,0,1,0,0
2022,519222,1.689,48.08203826263652,30.196,28.6,0,1,1,0
2022,519390,1.567,54.17900543822848,25.283,29.7,1,0,1,0
2022,519390,1.595,50.055551842251205,29.458,27.1,0,1,1,0
2022,519390,NA,48.38865338732166,31.351,29.7,0,1,0,0
2022,521692,1.491,44.721155895898086,33.262,29.9,0,1,1,0
2022,521692,NA,42.8867377926804,35.166,30,0,1,0,0
2022,521692,1.47,48.95258026824826,27.851,30.2,1,0,1,0
2022,521692,1.48,45.41770226514073,34.652,25.5,1,0,1,0
