team_side,inning,half,batting_score_diff,outs,use_now_team_we,wait_team_we,use_minus_wait,decision
away,2,top,7,1,0.9549692985152446,0.9578040615839997,-0.002834763068755075,KEEP
away,2,top,7,2,0.9498336094328951,0.9537800205266963,-0.0039464110938012276,KEEP
away,2,top,8,0,0.975694160867086,0.9765877244428247,-8.935635757386651e-4,KEEP
away,2,top,8,1,0.9717073492014393,0.9735641041780028,-0.0018567549765634572,KEEP
away,2,top,8,2,0.9683514421468488,0.9709453324596297,-0.0025938903127809,KEEP
away,2,top,9,0,0.9852402074813635,0.9858151522637362,-5.749447823726328e-4,KEEP
away,2,top,9,1,0.9826760235098565,0.9838691255547187,-0.0011931020448622265,KEEP
away,2,top,9,2,0.9805203071182753,0.982185924863499,-0.0016656177452236687,KEEP
away,2,top,10,0,0.9913757740297611,0.9917492689008675,-3.7349487110638346e-4,KEEP
away,2,top,10,1,0.989722195529872,0.9904863630605961,-7.641675307241691e-4,KEEP
away,2,top,10,2,0.988333565044586,0.9893922886909734,-0.0010587236463873717,KEEP
away,3,top,-10,0,0.010240100649638761,0.01150108161254304,-0.001260980962904279,KEEP
away,3,top,-10,1,0.007062567692880051,0.00815562919146462,-0.0010930614985845688,KEEP
away,3,top,-10,2,0.005066681970167575,0.005949888781939916,-8.832068117723413e-4,KEEP
away,3,top,-9,0,0.01735297175545336,0.019308622330723613,-0.0019556505752702513,KEEP
away,3,top,-9,1,0.012294644114254294,0.014066445595528387,-0.0017718014812740934,KEEP
away,3,top,-9,2,0.009046360283331945,0.010531176736694348,-0.001484816453362403,KEEP
away,3,top,-8,0,0.028715722971748403,0.03164657127917636,-0.002930848307427958,KEEP
away,3,top,-8,1,0.02088058497948153,0.0236690342751803,-0.0027884492956987694,KEEP
away,3,top,-8,2,0.015730135331586736,0.01815981070566075,-0.002429675374074014,KEEP
away,3,top,-7,0,0.04638280256781491,0.050613108968911025,-0.004230306401096118,KEEP
away,3,top,-7,1,0.0346267169565001,0.03887609692215532,-0.00424937996565522,KEEP
away,3,top,-7,2,0.02670851901153737,0.030568306242570675,-0.003859787231033307,KEEP
away,3,top,-6,0,0.07299772909617164,0.07884861637629059,-0.005850887280118955,KEEP
away,3,top,-6,1,0.055991047061117016,0.06223636157215695,-0.006245314511039934,KEEP
away,3,top,-6,2,0.04424422016483831,0.0501743985982156,-0.005930178433377287,KEEP
away,3,top,-5,0,0.11166306987976038,0.11936568661628866,-0.007702616736528278,KEEP
away,3,top,-5,1,0.08807421266006077,0.09688000055200152,-0.008805787891940753,KEEP
away,3,top,-5,2,0.07135214007527224,0.08012027600940574,-0.008768135934133503,KEEP
away,3,top,-4,0,0.1655314865220716,0.1751013123706182,-0.009569825848546598,KEEP
away,3,top,-4,1,0.13437717567863205,0.1462087273238828,-0.011831551645250737,KEEP
away,3,top,-4,2,0.11169568026036569,0.12409154217771168,-0.012395861917345985,KEEP
away,3,top,-3,0,0.2370029258194305,0.2481029985620129,-0.0111000727425824,KEEP
away,3,top,-3,1,0.1981680112954859,0.21318661193240251,-0.015018600636916624,KEEP
away,3,top,-3,2,0.16912163768888366,0.185736805459924,-0.01661516777104033,KEEP
away,3,top,-2,0,0.32650936491055293,0.3383665990616702,-0.01185723415111728,KEEP
away,3,top,-2,1,0.28134098567200705,0.2991409918651121,-0.017800006193105067,KEEP
away,3,top,-2,2,0.2466484476377604,0.2675099342432232,-0.02086148660546283,KEEP
away,3,top,-1,0,0.4310499285271463,0.4426077229952816,-0.011557794468135318,KEEP
away,3,top,-1,1,0.38270889567829125,0.4022154809873384,-0.019506585309047142,KEEP
away,3,top,-1,2,0.3446851357930887,0.36892796743938616,-0.02424283164629748,KEEP
away,3,top,0,0,0.5432804980282211,0.5536129012514802,-0.010332403223259123,KEEP
away,3,top,0,1,0.4967593979325273,0.5160115692640581,-0.019252171331530787,KEEP
away,3,top,0,2,0.4595355569509071,0.4845373523874219,-0.025001795436514818,KEEP
away,3,top,1,0,0.651497260551279,0.6600363997564829,-0.008539139205203883,KEEP
away,3,top,1,1,0.6110801856981903,0.6281008194983921,-0.0170206338002018,KEEP
away,3,top,1,2,0.5783810272376376,0.6010863809537966,-0.022705353716159005,KEEP
away,3,top,2,0,0.7456322663477359,0.7522655551664457,-0.006633288818709726,KEEP
away,3,top,2,1,0.7130244667435728,0.726954251206963,-0.013929784463390216,KEEP
away,3,top,2,2,0.6864281804558678,0.7053742316690537,-0.01894605121318582,KEEP
away,3,top,3,0,0.8216452457744975,0.8265332459988137,-0.004888000224316236,KEEP
away,3,top,3,1,0.7969016746834737,0.807596793598796,-0.010695118915322266,KEEP
away,3,top,3,2,0.7765949543848792,0.7913538230486565,-0.014758868663777291,KEEP
away,3,top,4,0,0.8793625535146153,0.8828057043782312,-0.003443150863615907,KEEP
away,3,top,4,1,0.8615224676990939,0.8693097260984994,-0.007787258399405528,KEEP
away,3,top,4,2,0.8468105267014809,0.8576779048444134,-0.010867378142932482,KEEP
away,3,top,5,0,0.9209966914713845,0.9233295799552294,-0.0023328884838448305,KEEP
away,3,top,5,1,0.9086800944465496,0.9141010733675953,-0.005420978921045649,KEEP
away,3,top,5,2,0.8984840696656877,0.9061168914974495,-0.007632821831761727,KEEP
away,3,top,6,0,0.9497509630902238,0.9512794657405227,-0.001528502650298913,KEEP
away,3,top,6,1,0.9415577656119658,0.9451890757964526,-0.0036313101844868134,KEEP
away,3,top,6,2,0.9347547127114317,0.9399042961298439,-0.005149583418412207,KEEP
away,3,top,7,0,0.9688838376382667,0.9698574692690544,-9.736316307876747e-4,KEEP
away,3,top,7,1,0.9636033931574958,0.9659567499844204,-0.002353356826924613,KEEP
away,3,top,7,2,0.9592095196302428,0.9625653847927618,-0.003355865162518956,KEEP
away,3,top,8,0,0.9812165019692064,0.981823753062517,-6.072510933106123e-4,KEEP
away,3,top,8,1,0.9778993369180261,0.9793828551647618,-0.001483518246735649,KEEP
away,3,top,8,2,0.9751368078984534,0.9772596822331332,-0.0021228743346798362,KEEP
away,3,top,9,0,0.9889631071319522,0.9893384747932353,-3.753676612830992e-4,KEEP
away,3,top,9,1,0.9869130841279234,0.9878296014065109,-9.165172785874365e-4,KEEP
away,3,top,9,2,0.9852077079990028,0.9865188431344343,-0.0013111351354314627,KEEP
away,3,top,10,0,0.9937474276708116,0.9939819569384236,-2.3452926761202697e-4,KEEP
away,3,top,10,1,0.9924792460744466,0.9930425799329301,-5.633338584835057e-4,KEEP
away,3,top,10,2,0.9914257753875165,0.9922259443104438,-8.001689229272246e-4,KEEP
away,4,top,-10,0,0.007378429898972638,0.008290395607628231,-9.119657086555932e-4,KEEP
away,4,top,-10,1,0.004924724852850781,0.005616633425819084,-6.919085729683028e-4,KEEP
away,4,top,-10,2,0.003410832196889979,0.003911226524800138,-5.003943279101586e-4,KEEP
away,4,top,-9,0,0.012975838984667032,0.014445393717468558,-0.0014695547328015257,KEEP
away,4,top,-9,1,0.008907336883827499,0.010076489412062961,-0.001169152528235462,KEEP
away,4,top,-9,2,0.006335276494907616,0.007217620167806804,-8.823436728991885e-4,KEEP
away,4,top,-8,0,0.022299146872737485,0.024586529021243808,-0.002287382148506323,KEEP
away,4,top,-8,1,0.015737672805264724,0.01765555119383566,-0.0019178783885709372,KEEP
away,4,top,-8,2,0.011481950093791382,0.012996539975028587,-0.001514589881237205,KEEP
away,4,top,-7,0,0.0374097747981077,0.040834890444944594,-0.003425115646836896,KEEP
away,4,top,-7,1,0.027162161002881158,0.03020789784111466,-0.0030457368382335037,KEEP
away,4,top,-7,2,0.020335736230017276,0.022861179280846633,-0.002525443050829357,KEEP
away,4,top,-6,0,0.061135517548524754,0.06603969940326904,-0.004904181854744283,KEEP
away,4,top,-6,1,0.04571218396034482,0.05037442869103104,-0.004662244730686216,KEEP
away,4,top,-6,2,0.03514845490614604,0.03922349625369559,-0.004075041347549546,KEEP
away,4,top,-5,0,0.0970499389713303,0.10370967266056674,-0.006659733689236447,KEEP
away,4,top,-5,1,0.07481409853102927,0.08165338198973637,-0.006839283458707102,KEEP
away,4,top,-5,2,0.05913799400097519,0.06546885955825998,-0.006330865557284793,KEEP
